title,name,medium,country,accessionyear,link,tag,wikidata
,,,,,,,
King Clothar I,,"Limestone, originally polychromed.",,1940,https://www.metmuseum.org/art/collection/search/473770,"[{'term': 'Doorways', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300002767', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q21263223'}, {'term': 'Kings', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025481', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q12097'}, {'term': 'Men', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025928', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q8441'}]",https://www.wikidata.org/wiki/Q82295060
The Demidoff Table,Lorenzo Bartolini,Marble,,1903,https://www.metmuseum.org/art/collection/search/188827,"[{'term': 'Boys', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300247598', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q3010'}, {'term': 'Sleeping', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300375130', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q35831'}, {'term': 'Zodiac', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300009937', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q40540'}]",https://www.wikidata.org/wiki/Q116374165
King Clovis I,,Limestone with traces of paint,France,1940,https://www.metmuseum.org/art/collection/search/473769,"[{'term': 'Doorways', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300002767', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q21263223'}, {'term': 'Kings', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025481', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q12097'}, {'term': 'Men', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025928', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q8441'}]",https://www.wikidata.org/wiki/Q20201836
"Dance in a Subterranean Roundhouse at Clear Lake, California",Jules Tavernier,Oil on canvas,United States,2016,https://www.metmuseum.org/art/collection/search/698529,"[{'term': 'Dancers', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025653', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q5716684'}, {'term': 'Men', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025928', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q8441'}, {'term': 'Women', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025943', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q467'}, {'term': 'Dancing', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300389779', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q43393537'}]",https://www.wikidata.org/wiki/Q78614308
Ē luku wale ē,Mark Hamasaki,,,,https://www.metmuseum.org/art/collection/search/890008,,
Brother and Sister (Le frère et la soeur),Auguste Rodin,Bronze,,1908,https://www.metmuseum.org/art/collection/search/191081,"[{'term': 'Boys', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300247598', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q3010'}, {'term': 'Girls', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300247581', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q3031'}]",https://www.wikidata.org/wiki/Q116240830
Seated Female Figure (from Day of the Hours Sundial),Paul Manship,Bronze and marble,,2018,https://www.metmuseum.org/art/collection/search/812711,,https://www.wikidata.org/wiki/Q116445194
Vase,Arthur J. Stone,silver and gold,United States,2011,https://www.metmuseum.org/art/collection/search/20895,"[{'term': 'Grapes', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300379338', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q10978'}]",https://www.wikidata.org/wiki/Q83562007
Vase,Arthur J. Stone,silver and gold,United States,2011,https://www.metmuseum.org/art/collection/search/20894,,https://www.wikidata.org/wiki/Q83562005
Walking ensemble,,silk,,1926,https://www.metmuseum.org/art/collection/search/81108,,https://www.wikidata.org/wiki/Q29383407
Doorway from Moutiers-Saint-Jean,,White oolitic limestone with traces of paint,France,1932,https://www.metmuseum.org/art/collection/search/470313,"[{'term': 'Christ', 'AAT_URL': 'http://vocab.getty.edu/page/ia/901000087', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q642420'}, {'term': 'Coronation of the Virgin', 'AAT_URL': 'http://vocab.getty.edu/page/ia/901000780', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q1093370'}, {'term': 'Angels', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300379004', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q235113'}, {'term': 'Virgin Mary', 'AAT_URL': 'http://vocab.getty.edu/page/ia/901000032', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q345'}, {'term': 'Men', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025928', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q8441'}]",https://www.wikidata.org/wiki/Q20201347
Dinner dress,Mme. Grapanche,silk,,1963,https://www.metmuseum.org/art/collection/search/82880,,https://www.wikidata.org/wiki/Q29383492
Bronze finial of two warriors from a candelabrum,,Bronze,,1947,https://www.metmuseum.org/art/collection/search/254576,"[{'term': 'Men', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025928', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q8441'}]",https://www.wikidata.org/wiki/Q116286905
Vase,Maija Grotell,Stoneware,United States,2017,https://www.metmuseum.org/art/collection/search/19948,,https://www.wikidata.org/wiki/Q116393720
"""Damaged Bone Series""",Michael Aschenbrenner,"Glass, fabric, wire, twigs",,2003,https://www.metmuseum.org/art/collection/search/490145,,
Mummy of Nesiamun,,"Human remains, linen, mummification material",Egypt,1926,https://www.metmuseum.org/art/collection/search/575557,"[{'term': 'Mummies', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300262951', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q43616'}]",https://www.wikidata.org/wiki/Q116251945
Landscape at Olevano Romano,Johann Joachim Faber,"Oil on paper, laid down on cardboard",,2009,https://www.metmuseum.org/art/collection/search/440386,"[{'term': 'Mountains', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300008795', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q8502'}, {'term': 'Landscapes', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300132294', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q191163'}]",https://www.wikidata.org/wiki/Q20168211
Male figure (tiki) representing the deity Rongo,,Wood,Mangareva,1979,https://www.metmuseum.org/art/collection/search/313654,"[{'term': 'Male Nudes', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300189568', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q40446'}, {'term': 'Deities', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300343850', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q178885'}]",https://www.wikidata.org/wiki/Q81388504
"The Antioch ""Chalice""",,"Silver, silver-gilt",,1950,https://www.metmuseum.org/art/collection/search/468346,"[{'term': 'Birds', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300266506', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q5113'}, {'term': 'Christ', 'AAT_URL': 'http://vocab.getty.edu/page/ia/901000087', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q642420'}, {'term': 'Animals', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300249525', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q729'}, {'term': 'Grapes', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300379338', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q10978'}]",https://www.wikidata.org/wiki/Q29385468
"Lakshmi, Goddess of Prosperity",,Brass,,2014,https://www.metmuseum.org/art/collection/search/78910,"[{'term': 'Goddess', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300343852', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q205985'}, {'term': 'Hinduism', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300073727', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q9089'}]",https://www.wikidata.org/wiki/Q116374168
