title,name,medium,country,accessionyear,link,tag,wikidata
Bamboo-shaped vase,,"Bone carved in shape of tree trunk, with inscibed poem",,2015,https://www.metmuseum.org/art/collection/search/666714,,
Terracotta skyphos (deep drinking cup),,Terracotta,,1941,https://www.metmuseum.org/art/collection/search/254190,"[{'term': 'Dogs', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300265714', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q144'}, {'term': 'Trees', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300132410', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q10884'}]",https://www.wikidata.org/wiki/Q116289172
Terracotta Megarian bowl,,Terracotta,,1931,https://www.metmuseum.org/art/collection/search/253341,,https://www.wikidata.org/wiki/Q116241698
Vase with deer and pine tree,,Porcelain painted in underglaze cobalt blue (Jingdezhen ware),,1914,https://www.metmuseum.org/art/collection/search/52041,"[{'term': 'Trees', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300132410', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q10884'}, {'term': 'Deer', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300250308', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q685795'}]",
Vase with bamboo and plum tree,,Chalcedony,,1902,https://www.metmuseum.org/art/collection/search/44166,"[{'term': 'Trees', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300132410', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q10884'}]",https://www.wikidata.org/wiki/Q83562328
Terracotta rim fragment of a kylix (drinking cup),,Terracotta,,2011,https://www.metmuseum.org/art/collection/search/671272,,
Vase with flowers and birds of the four seasons,,Porcelain painted in overglaze polychrome enamels (Jingdezhen famille verte ware),,1914,https://www.metmuseum.org/art/collection/search/42221,"[{'term': 'Birds', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300266506', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q5113'}, {'term': 'Flowers', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300132399', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q506'}, {'term': 'Leaves', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300011892', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q33971'}]",https://www.wikidata.org/wiki/Q116314081
Vase decorated wtih apple tree bough,Thomas Webb & Sons,Glass,,1990,https://www.metmuseum.org/art/collection/search/207885,"[{'term': 'Flowers', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300132399', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q506'}]",
Vase with gentlemen in a landscape (one of a pair),,Porcelain painted in overglaze black and red enamels (Jingdezhen ware),,1968,https://www.metmuseum.org/art/collection/search/42322,"[{'term': 'Men', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025928', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q8441'}, {'term': 'Landscapes', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300132294', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q191163'}, {'term': 'Trees', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300132410', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q10884'}]",https://www.wikidata.org/wiki/Q83562283
Vase,"Royal Porcelain Manufactory, Berlin",Hard-paste porcelain,,1993,https://www.metmuseum.org/art/collection/search/208152,"[{'term': 'Men', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025928', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q8441'}, {'term': 'Trees', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300132410', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q10884'}]",https://www.wikidata.org/wiki/Q116307627
Della Robbia vase with trees,Frederick Hurten Rhead,Earthenware,United States,2020,https://www.metmuseum.org/art/collection/search/726728,,https://www.wikidata.org/wiki/Q116444786
Terracotta fragment of a kylix (drinking cup),,Terracotta,,2011,https://www.metmuseum.org/art/collection/search/691870,,
Terracotta jug,,Terracotta,,1874,https://www.metmuseum.org/art/collection/search/240096,"[{'term': 'Birds', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300266506', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q5113'}, {'term': 'Human Figures', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300404114', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q5937779'}]",
Vase Fragment,,Terracotta,,1917,https://www.metmuseum.org/art/collection/search/250297,"[{'term': 'Maenads', 'AAT_URL': None, 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q209599'}, {'term': 'Trees', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300132410', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q10884'}]",
Vase (vase chinois) (one of a pair),Sèvres Manufactory,"Hard-paste porcelain decorated in black enamel, platinum, two tones of gold; gilt metal; interior metal rod",,1971,https://www.metmuseum.org/art/collection/search/205428,"[{'term': 'Chinoiserie', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300021167', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q863679'}, {'term': 'Human Figures', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300404114', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q5937779'}]",https://www.wikidata.org/wiki/Q116242507
